gender,salary,color,followers
male,54.94,purple,26
male,60.08,red,22
male,9.47,blue,27
female,72.48,purple,22
male,37.62,red,13
male,62.24,blue,14
male,52.4,blue,36
female,37.36,green,19
female,56.42,yellow,19
male,69.63,yellow,27
female,35.53,yellow,16
male,69.84,red,21
male,27.1,blue,36
male,20.73,blue,14
male,51.61,blue,21
female,31.3,green,13
male,46.27,purple,27
male,25.34,blue,15
male,88.49,blue,14
female,51.54,pink,20
male,72.54,red,22
female,4.97,red,14
male,62.92,purple,24
male,75.77,blue,16
male,60.82,blue,15
male,50.68,blue,29
male,23.66,blue,18
male,28.94,blue,16
male,43.43,purple,14
male,56.91,blue,14
male,29.05,blue,18
male,52.4,blue,14
female,17.59,red,17
male,13.14,blue,14
male,46.27,blue,21
male,27.04,blue,19
male,61.03,red,23
male,0.0,blue,13
male,36.83,yellow,14
female,73.87,purple,30
female,22.12,pink,16
female,33.37,purple,50
male,114.65,blue,38
male,20.47,yellow,16
female,88.43,yellow,29
female,27.94,pink,39
female,23.62,blue,13
male,33.53,purple,20
male,36.04,blue,37
female,34.43,pink,58
female,32.36,purple,63
female,25.17,pink,18
male,67.07,blue,13
female,17.25,pink,23
male,43.88,blue,38
male,39.64,red,23
male,79.74,purple,17
male,50.36,blue,18
female,14.42,pink,18
female,68.57,pink,38
female,136.85,pink,49
male,34.44,purple,13
female,49.85,green,17
male,42.2,purple,19
male,51.04,blue,28
male,57.76,red,25
female,29.54,yellow,37
female,64.83,pink,17
male,60.95,blue,24
male,58.81,yellow,16
male,43.51,blue,15
female,68.39,yellow,14
female,96.49,purple,33
male,59.68,blue,61
female,66.56,purple,22
female,124.94,yellow,14
female,0.0,red,19
male,48.71,blue,13
female,52.2,purple,27
female,56.23,red,49
female,46.2,green,31
male,55.61,blue,26
male,74.38,blue,20
male,75.18,yellow,28
male,10.6,blue,29
male,23.73,blue,26
male,65.72,blue,23
male,76.45,blue,18
male,61.4,blue,14
female,69.39,pink,13
female,73.74,green,14
male,44.5,blue,20
male,97.47,blue,18
female,38.37,red,19
male,48.22,blue,13
male,21.26,blue,16
male,46.52,blue,19
female,44.02,pink,15
female,84.97,blue,24
female,71.79,pink,28
male,12.01,blue,16
female,71.01,purple,24
female,57.83,blue,14
male,83.7,red,27
male,40.55,yellow,46
male,32.03,blue,29
female,70.23,purple,22
female,21.69,red,32
female,84.21,red,15
female,28.57,pink,74
female,53.87,pink,46
male,33.29,blue,19
female,79.96,pink,15
female,33.8,purple,32
female,74.69,red,30
female,86.11,yellow,17
male,40.86,blue,21
male,65.61,red,19
female,79.56,green,55
female,78.56,yellow,19
male,67.32,blue,13
female,71.43,yellow,43
male,30.39,purple,32
male,50.94,red,29
male,31.97,red,15
male,45.32,red,21
male,32.13,yellow,17
male,66.15,blue,29
female,81.52,pink,13
female,79.79,green,24
male,69.87,red,41
female,36.59,green,19
male,36.55,blue,25
female,45.3,pink,28
female,37.63,green,35
female,62.41,pink,15
female,55.41,purple,28
female,65.52,pink,31
male,40.43,red,26
female,56.74,green,28
male,47.46,blue,39
female,70.66,pink,13
female,21.24,green,14
male,78.56,red,30
female,89.52,yellow,23
male,22.29,yellow,18
female,56.09,green,13
male,65.09,blue,23
female,64.86,green,13
female,63.59,purple,19
male,70.4,yellow,21
male,39.24,blue,15
female,37.97,yellow,36
female,49.06,purple,30
male,54.81,blue,23
female,50.79,purple,15
male,82.74,yellow,32
female,69.26,red,23
male,53.31,purple,35
female,64.16,pink,15
male,63.13,yellow,30
female,51.09,pink,36
male,55.3,blue,17
female,25.4,yellow,13
female,40.9,pink,35
female,34.54,red,16
male,82.48,blue,32
female,20.56,red,18
male,27.41,purple,20
female,43.04,pink,26
female,100.07,green,20
female,47.0,green,20
female,36.3,blue,15
male,78.91,blue,36
male,42.13,blue,15
male,40.79,red,16
male,97.48,blue,28
male,57.12,purple,30
female,114.52,yellow,20
female,37.04,blue,48
female,35.31,green,36
female,95.51,pink,60
female,53.2,blue,23
male,69.83,blue,13
female,46.28,blue,22
female,30.39,red,17
female,102.69,pink,16
male,55.08,blue,21
female,0.0,yellow,13
female,42.74,yellow,22
female,79.27,red,26
female,37.6,green,21
female,57.27,purple,61
female,46.24,pink,14
male,73.3,purple,16
female,51.4,red,15
male,23.28,blue,14
female,86.01,green,25
male,28.72,red,38
female,42.7,pink,23
female,59.58,blue,15
female,28.26,pink,22
female,75.74,purple,32
female,59.45,purple,19
male,27.11,blue,13
female,77.92,pink,35
male,36.09,yellow,14
male,12.25,blue,20
female,109.63,pink,14
male,53.76,blue,17
male,42.65,red,21
female,77.67,pink,19
female,46.46,pink,15
male,75.8,purple,24
male,65.2,purple,28
female,88.46,purple,55
female,53.97,green,14
female,59.55,green,23
female,39.23,purple,57
female,49.13,purple,28
male,41.59,blue,20
male,52.66,red,33
female,33.37,green,22
female,60.42,blue,44
male,53.6,red,19
female,33.84,pink,16
male,77.52,blue,35
male,73.16,blue,16
female,14.62,pink,22
female,78.01,blue,22
male,49.39,blue,26
female,39.9,purple,15
female,9.2,yellow,20
female,56.68,purple,36
male,58.93,blue,55
male,63.4,red,14
male,52.68,red,23
male,41.66,blue,20
male,50.29,blue,16
male,58.69,red,18
female,59.61,green,13
female,72.07,purple,58
male,32.21,blue,21
male,48.92,blue,17
female,51.03,yellow,32
male,19.97,blue,14
male,0.0,blue,15
male,10.63,blue,16
male,11.12,red,13
male,26.62,blue,19
female,71.83,red,22
male,42.09,blue,14
female,50.83,purple,15
female,9.18,red,14
female,61.88,green,35
male,13.43,blue,21
female,79.37,green,29
female,77.66,yellow,46
female,0.0,green,25
male,20.13,blue,21
male,67.64,blue,15
female,60.05,pink,26
male,38.26,blue,15
male,93.51,blue,20
male,50.5,blue,19
male,59.6,yellow,20
female,48.36,purple,65
female,40.64,pink,36
female,54.14,pink,15
female,66.13,green,18
female,76.25,pink,36
female,49.17,red,18
female,54.0,purple,16
female,22.63,blue,38
male,32.67,red,15
female,91.0,pink,45
female,62.58,pink,15
male,119.33,blue,36
female,48.97,yellow,36
female,35.76,pink,13
male,31.11,blue,15
female,8.92,pink,13
female,37.38,green,14
female,35.13,purple,33
male,15.2,blue,15
male,25.81,blue,22
female,93.35,purple,28
female,58.87,pink,17
male,76.82,blue,21
male,44.27,blue,15
female,87.21,pink,51
male,56.63,blue,38
male,21.26,blue,16
male,62.63,blue,36
female,14.42,green,16
male,45.12,blue,13
female,86.11,blue,33
male,42.99,yellow,22
male,103.05,yellow,66
male,98.33,blue,17
female,59.58,yellow,17
female,33.52,yellow,15
female,121.65,yellow,58
male,53.55,yellow,27
male,58.9,blue,16
male,42.69,purple,14
female,2.3,purple,18
female,88.08,pink,14
male,74.29,blue,18
male,85.95,blue,25
male,49.25,blue,23
male,79.87,blue,23
female,60.78,purple,15
female,25.32,yellow,15
male,99.54,blue,33
female,53.74,blue,33
female,51.97,red,13
female,101.8,yellow,37
male,34.83,red,25
female,43.18,pink,74
male,48.08,blue,39
male,43.83,blue,21
male,39.7,yellow,15
male,54.93,blue,18
female,41.48,purple,44
female,61.47,purple,34
male,39.09,blue,15
male,17.73,blue,20
male,0.0,red,23
male,72.87,red,14
female,23.04,pink,15
male,59.51,blue,14
male,56.04,purple,20
male,26.56,yellow,14
female,23.24,purple,21
male,1.32,blue,15
female,74.4,pink,17
female,31.22,purple,24
female,42.77,purple,37
male,110.88,blue,25
male,31.51,blue,22
male,43.52,blue,15
female,34.17,pink,17
female,70.32,green,19
female,86.38,pink,20
male,42.77,yellow,16
female,55.23,green,14
female,38.65,blue,14
female,63.83,pink,16
male,70.86,blue,16
male,64.12,blue,24
male,40.53,blue,16
female,70.07,red,31
male,4.26,blue,23
male,35.71,red,13
male,38.15,blue,28
male,43.87,purple,14
female,46.04,green,33
male,26.02,red,14
female,53.15,blue,31
male,83.04,blue,23
female,34.39,red,32
female,66.56,yellow,23
male,67.52,blue,19
female,77.88,yellow,27
male,80.42,blue,23
male,63.65,red,23
female,83.35,green,14
female,79.11,blue,29
male,98.56,blue,17
male,45.83,blue,18
male,36.9,red,28
male,42.41,blue,17
